Movie ID,Title,Genre,Keywords
1,The Dark Knight,Action Comedy Drama,batman joker vigilante hero dc comics gotham dark
2,Inception,Action Sci-Fi Thriller,dreams heist subconscious mind-bending paradox layered
3,The Hangover,Comedy Las-Vegas,vegas bachelor party blackout wedding friendship chaos
4,Interstellar,Sci-Fi Adventure Drama,space black-hole time-dilation relativity exploration nasa
5,Spirited Away,Animation Fantasy Family,anime spirits magic supernatural curse adventure
6,Superbad,Comedy Romance,high-school graduation party friendship teen alcohol awkward
7,Pulp Fiction,Crime Thriller Drama,tarantino non-linear hitmen briefcase boxer redemption
8,The Conjuring,Horror Thriller,paranormal haunted-house demon exorcism ghost investigator
9,Gladiator,Action Drama History,rome gladiator emperor revenge colosseum arena honor
10,Whiplash,Drama Music Thriller,jazz drummer obsession perfection orchestra conservatory mentor
11,Spider-Man: Into the Spider-Verse,Animation Action Sci-Fi,multiverse miles-morales spider-man comic-book parallel-universes
12,Get Out,Horror Mystery Thriller,psychological survival racism suspense hypnotism trap
13,The Grand Budapest Hotel,Comedy Drama,wes-anderson concierge painting theft concierge family inheritance
14,Mad Max: Fury Road,Action Sci-Fi Post-Apocalyptic,desert car-chase survival wasteland warrior fuel
15,Parasite,Thriller Drama Comedy,class-conflict family deception scam societal-divide dark-comedy
